,Rule_ID,Rule_Name,Rule_Description,Tag,Sample,Severity,Pattern,Confidence,Type,Language,Filename
29,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],npm,Moderate,npm,Unspecified,String,javascript,fgh\scripts\rollup\build.js
30,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\build.js
31,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\build.js
32,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\build.js
33,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\build.js
34,AI027500,Hygiene: Suspicious Comment,Hygiene: Suspicious Comment,['Miscellaneous.CodeHygiene.Comment.Suspicious'],HACK,Moderate,hack|insecure|black magic|high risk|risky|riskiest|obfuscation|obfuscate|obfuscated,Unspecified,Regex,javascript,fgh\scripts\rollup\build.js
35,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\bundles.js
36,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\bundles.js
37,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\bundles.js
38,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\bundles.js
39,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\bundles.js
40,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\rollup\bundles.js
41,AI027500,Hygiene: Suspicious Comment,Hygiene: Suspicious Comment,['Miscellaneous.CodeHygiene.Comment.Suspicious'],hack,Moderate,hack|insecure|black magic|high risk|risky|riskiest|obfuscation|obfuscate|obfuscated,Unspecified,Regex,cpp,fgh\scripts\perf-counters\src\hardware-counter.cpp
42,AI016000,Data: Secret,Data: Secret,['Data.Sensitive.Secret'],SECRET,Important,(strictly|highly) confidential,Unspecified,Regex,javascript,fgh\packages\react-dom\index.stable.js
43,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\jest\TestFlags.js
44,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\scripts\jest\TestFlags.js
45,AI027400,Hygiene: Fix Comment,Hygiene: Fix Comment,['Miscellaneous.CodeHygiene.Comment.Fix'],broke,Moderate,fixme|broke|broken,Unspecified,Regex,javascript,fgh\scripts\jest\TestFlags.js
46,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\react-devtools-extensions\src\main.js
47,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\react-devtools-extensions\src\main.js
48,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\react-devtools-extensions\src\main.js
49,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\react-devtools-timeline\src\Timeline.js
50,AI027500,Hygiene: Suspicious Comment,Hygiene: Suspicious Comment,['Miscellaneous.CodeHygiene.Comment.Suspicious'],HACK,Moderate,hack|insecure|black magic|high risk|risky|riskiest|obfuscation|obfuscate|obfuscated,Unspecified,Regex,javascript,fgh\packages\react-devtools-timeline\src\Timeline.js
51,AI027500,Hygiene: Suspicious Comment,Hygiene: Suspicious Comment,['Miscellaneous.CodeHygiene.Comment.Suspicious'],HACK,Moderate,hack|insecure|black magic|high risk|risky|riskiest|obfuscation|obfuscate|obfuscated,Unspecified,Regex,javascript,fgh\packages\react-devtools-timeline\src\Timeline.js
52,AI027500,Hygiene: Suspicious Comment,Hygiene: Suspicious Comment,['Miscellaneous.CodeHygiene.Comment.Suspicious'],HACK,Moderate,hack|insecure|black magic|high risk|risky|riskiest|obfuscation|obfuscate|obfuscated,Unspecified,Regex,javascript,fgh\packages\react-devtools-timeline\src\Timeline.js
53,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],NPM,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\build-and-test.js
54,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],NPM,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\build-and-test.js
55,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],npm,Moderate,npm,Unspecified,String,javascript,fgh\scripts\print-warnings\print-warnings.js
56,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\react-fetch\src\ReactFetchBrowser.js
57,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\react-fetch\src\ReactFetchBrowser.js
58,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\react-fetch\src\ReactFetchBrowser.js
